subject,subject_label,relation,object,object_label,subject_qid,object_qid,status,matched_property_id,matched_property_label,matched_property_uri,similarity_score
Cisco,ORG,launch,IBM,ORG,Q173395,,entities_not_aligned_to_wikidata,,,,0.0
Cisco,ORG,launch,Intel,ORG,Q173395,Q248,no_predicate_found,,,,0.0
Cisco Systems,ORG,establish,the Clinton Foundation,ORG,Q173395,,entities_not_aligned_to_wikidata,,,,0.0
Commission for Racial Equality,ORG,find,St. George's Medical School,ORG,Q5152654,,entities_not_aligned_to_wikidata,,,,0.0
Computational Logic,ORG,reprint,1991,DATE,Q5157327,,entities_not_aligned_to_wikidata,,,,0.0
Computational Logic,ORG,reprint,Cambridge,GPE,Q5157327,Q49111,no_predicate_found,,,,0.0
Computational Logic,ORG,reprint,MA,GPE,Q5157327,,entities_not_aligned_to_wikidata,,,,0.0
Computational Logic,ORG,reprint,The MIT Press,ORG,Q5157327,,entities_not_aligned_to_wikidata,,,,0.0
Critical Research in Digital Architecture,ORG,include,CRIDA,ORG,,Q77163370,entities_not_aligned_to_wikidata,,,,0.0
Critical Research in Digital Architecture,ORG,include,"Faculty of Architecture, Building and Planning",ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Critical Research in Digital Architecture,ORG,include,University of Melbourne,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Czech Republic,GPE,establish,May 2011,DATE,Q213,Q276430,no_predicate_found,,,,0.0
DBpedia,ORG,focus,Freebase,ORG,Q465,Q1453477,no_predicate_found,,,,0.0
DBpedia,ORG,focus,Wikipedia,ORG,Q465,,entities_not_aligned_to_wikidata,,,,0.0
DBpedia,ORG,found,Freebase,ORG,Q465,Q1453477,no_predicate_found,,,,0.0
DBpedia,ORG,introduce,Freebase,ORG,Q465,Q1453477,no_predicate_found,,,,0.0
Dahua Technology,ORG,market,Huawei,ORG,Q18111506,Q160120,no_predicate_found,,,,0.0
Dahua Technology,ORG,market,ZTE,ORG,Q18111506,,entities_not_aligned_to_wikidata,,,,0.0
Dassault Systèmes,ORG,dominate,PTC,ORG,Q1172038,,entities_not_aligned_to_wikidata,,,,0.0
Dassault Systèmes,ORG,dominate,Siemens PLM Software,ORG,Q1172038,,entities_not_aligned_to_wikidata,,,,0.0
David K. Owens,PERSON,former executive vice president,the Edison Electric Institute,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
David Rumelhart,PERSON,continue,Geoffrey Hinton,PERSON,Q93111,Q92894,no_predicate_found,,,,0.0
Deakin,PERSON,hamper,Al Waer,PERSON,Q1180978,,entities_not_aligned_to_wikidata,,,,0.0
December 2011,DATE,approve,National Institute of Building Sciences,ORG,Q386251,Q6973613,no_predicate_found,,,,0.0
December 2011,DATE,approve,US,GPE,Q386251,,entities_not_aligned_to_wikidata,,,,0.0
December 2015,DATE,german minister transport,Alexander Dobrindt,PERSON,Q16726269,Q85783,no_predicate_found,,,,0.0
December 2017,DATE,launch,early 2018.[108,DATE,Q22971091,,entities_not_aligned_to_wikidata,,,,0.0
Deloitte,ORG,launch,Ericsson,ORG,Q491748,Q52618,no_predicate_found,,,,0.0
Deloitte,ORG,launch,General Electric,ORG,Q491748,Q54173,no_predicate_found,,,,0.0
Deloitte,ORG,launch,IBM,ORG,Q491748,,entities_not_aligned_to_wikidata,,,,0.0
Deloitte,ORG,launch,Intel,ORG,Q491748,Q248,no_predicate_found,,,,0.0
Department of Computer Science,ORG,include,University College London,ORG,Q5260203,,entities_not_aligned_to_wikidata,,,,0.0
Design and Computation,ORG,know,MIT,ORG,Q26751087,,entities_not_aligned_to_wikidata,,,,0.0
Design and Computation,ORG,know,the Massachusetts Institute of Technology,ORG,Q26751087,,entities_not_aligned_to_wikidata,,,,0.0
Digitaalehituse Klaster,ORG,form,2015,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Digital Construction in Lithuania,ORG,hold,2012,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Digital Construction in Lithuania,ORG,hold,annually,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Disney,ORG,follow,Universal,ORG,Q7414,,entities_not_aligned_to_wikidata,,,,0.0
Domingos,PERSON,chapter,2015,DATE,Q18695825,,entities_not_aligned_to_wikidata,,,,0.0
Duda,PERSON,continue,Hart,PERSON,Q24283002,Q1587003,no_predicate_found,,,,0.0
ERANet,ORG,project,FinSESCo,ORG,Q63398105,,entities_not_aligned_to_wikidata,,,,0.0
Economist,ORG,provide,2012,DATE,Q188094,,entities_not_aligned_to_wikidata,,,,0.0
Eder-Van Hook,ORG,note,2004,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Edward Bellamy,PERSON,include,Frank Lloyd Wright,PERSON,Q455776,Q5604,no_predicate_found,,,,0.0
Edward Bellamy,PERSON,include,Le Corbusier.[45][49,PERSON,Q455776,,entities_not_aligned_to_wikidata,,,,0.0
Edward L.,PERSON,get,Berry,PERSON,,Q827140,entities_not_aligned_to_wikidata,,,,0.0
Edward L.,PERSON,get,Christopher R.,PERSON,,Q109551603,entities_not_aligned_to_wikidata,,,,0.0
Ehrlinger,PERSON,retrieve,2016,DATE,Q37485558,,entities_not_aligned_to_wikidata,,,,0.0
Ehrlinger,PERSON,retrieve,Lisa,PERSON,Q37485558,Q1588186,no_predicate_found,,,,0.0
Ehrlinger,PERSON,retrieve,Wolfram,PERSON,Q37485558,,entities_not_aligned_to_wikidata,,,,0.0
Ehrlinger,PERSON,retrieve,Wöß,PERSON,Q37485558,,entities_not_aligned_to_wikidata,,,,0.0
Ehud Y.,PERSON,archive,21 August 2021,DATE,Q67241453,,entities_not_aligned_to_wikidata,,,,0.0
Ehud Y.,PERSON,archive,the Wayback Machine,ORG,Q67241453,,entities_not_aligned_to_wikidata,,,,0.0
Erich,PERSON,detection,Encyclopedia of Database Systems,ORG,Q15277196,Q63033999,no_predicate_found,,,,0.0
Ericsson,ORG,launch,General Electric,ORG,Q52618,Q54173,no_predicate_found,,,,0.0
Ericsson,ORG,launch,IBM,ORG,Q52618,,entities_not_aligned_to_wikidata,,,,0.0
Ericsson,ORG,launch,Intel,ORG,Q52618,Q248,no_predicate_found,,,,0.0
Estonia,GPE,digital construction cluster,Digitaalehituse Klaster,ORG,Q191,,entities_not_aligned_to_wikidata,,,,0.0
Estonia,GPE,form,2015,DATE,Q191,,entities_not_aligned_to_wikidata,,,,0.0
European BIM,ORG,show,France,GPE,,Q142,entities_not_aligned_to_wikidata,,,,0.0
European Structural and Investment Funds,ORG,through,Enterprise Estonia,ORG,Q846996,Q11858046,no_predicate_found,,,,0.0
Facebook,ORG,include,Airbnb,ORG,Q355,Q63327,no_predicate_found,,,,0.0
Facebook,ORG,include,Amazon,ORG,Q355,Q3884,no_predicate_found,,,,0.0
Facebook,ORG,include,LinkedIn,ORG,Q355,Q213660,no_predicate_found,,,,0.0
Facebook,ORG,include,Microsoft,ORG,Q355,Q2283,no_predicate_found,,,,0.0
Facebook,ORG,include,Uber,ORG,Q355,,entities_not_aligned_to_wikidata,,,,0.0
"Faculty of Architecture, Building and Planning",ORG,include,Carnegie Mellon,ORG,,Q190080,entities_not_aligned_to_wikidata,,,,0.0
"Faculty of Architecture, Building and Planning",ORG,include,School of Architecture,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
"Faculty of Architecture, Building and Planning",ORG,include,University of Melbourne,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
February 2015,DATE,summit,Barcelona,GPE,Q15985236,Q1492,no_predicate_found,,,,0.0
February 2015,DATE,summit professional,Spain,GPE,Q15985236,Q29,no_predicate_found,,,,0.0
February 2016,DATE,recommend,Infrastructure Australia,ORG,Q19249183,Q6031535,no_predicate_found,,,,0.0
Feng,PERSON,see,"January 9, 2022",DATE,Q62383161,Q69306299,no_predicate_found,,,,0.0
Feng,PERSON,see,Shen,PERSON,Q62383161,,entities_not_aligned_to_wikidata,,,,0.0
Feng,PERSON,see,Zheng,PERSON,Q62383161,,entities_not_aligned_to_wikidata,,,,0.0
Ford,ORG,use,« Siemens PLM Software Blog,ORG,Q44294,,entities_not_aligned_to_wikidata,,,,0.0
France,GPE,last place government support,2017,DATE,Q142,,entities_not_aligned_to_wikidata,,,,0.0
Francis Bacon,PERSON,fade,1597,DATE,Q154340,,entities_not_aligned_to_wikidata,,,,0.0
Frank Lloyd Wright,PERSON,include,Le Corbusier.[45][49,PERSON,Q5604,,entities_not_aligned_to_wikidata,,,,0.0
Friedman,PERSON,view,1998,DATE,Q1451887,,entities_not_aligned_to_wikidata,,,,0.0
Friedman,PERSON,view,Jerome H.,PERSON,Q1451887,,entities_not_aligned_to_wikidata,,,,0.0
Fuller,PERSON,explanation synergetic geometry,R. Buckminster Fuller,PERSON,Q1158382,Q102289,no_predicate_found,,,,0.0
G.A. van Nederveen,PERSON,appear,F. P. Tolman.[16,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
GMW,ORG,employee,Jonathan Ingram,PERSON,,Q112136774,entities_not_aligned_to_wikidata,,,,0.0
General Electric,ORG,launch,IBM,ORG,Q54173,,entities_not_aligned_to_wikidata,,,,0.0
General Electric,ORG,launch,Intel,ORG,Q54173,Q248,no_predicate_found,,,,0.0
Georgia Tech,ORG,approve,the American Institute of Steel Construction,ORG,Q864855,,entities_not_aligned_to_wikidata,,,,0.0
Gerhard Schmitt,PERSON,choose,Birger Sevaldson,PERSON,Q112258986,,entities_not_aligned_to_wikidata,,,,0.0
Germany,GPE,confirm,2020,DATE,Q183,,entities_not_aligned_to_wikidata,,,,0.0
Germany,GPE,say,two to three years,DATE,Q183,,entities_not_aligned_to_wikidata,,,,0.0
Germany,GPE,year behind,The Netherlands,GPE,Q183,,entities_not_aligned_to_wikidata,,,,0.0
Germany,GPE,year behind,UK,GPE,Q183,,entities_not_aligned_to_wikidata,,,,0.0
Glaeser,PERSON,get,Berry,PERSON,Q36980600,Q827140,no_predicate_found,,,,0.0
Glaeser,PERSON,get,Christopher R.,PERSON,Q36980600,Q109551603,no_predicate_found,,,,0.0
Glaeser,PERSON,get,Edward L.,PERSON,Q36980600,,entities_not_aligned_to_wikidata,,,,0.0
Google,ORG,achieve,Harvard U,ORG,Q95,Q13371,no_predicate_found,,,,0.0
Google,ORG,achieve,Purdue,ORG,Q95,Q217741,no_predicate_found,,,,0.0
Google,ORG,associate,Bing,ORG,Q95,Q182496,no_predicate_found,,,,0.0
Google,ORG,associate,Yahoo,ORG,Q95,,entities_not_aligned_to_wikidata,,,,0.0
Google,ORG,include,IBM,ORG,Q95,,entities_not_aligned_to_wikidata,,,,0.0
Google,ORG,introduce,DBpedia,ORG,Q95,Q465,no_predicate_found,,,,0.0
Google,ORG,introduce,Freebase,ORG,Q95,Q1453477,no_predicate_found,,,,0.0
Google,ORG,use,LinkedIn,ORG,Q95,Q213660,no_predicate_found,,,,0.0
Google,ORG,use,Microsoft,ORG,Q95,Q2283,no_predicate_found,,,,0.0
Google Cloud AI,ORG,service large scale machine,Google,ORG,,Q95,entities_not_aligned_to_wikidata,,,,0.0
Gordon Plotkin,PERSON,lay,Ehud Shapiro,PERSON,Q967536,Q5348683,no_predicate_found,,,,0.0
Graphisoft,ORG,acknowledge,Jonathan Ingram,PERSON,Q743588,Q112136774,no_predicate_found,,,,0.0
Graphisoft,ORG,develop than,Laiserin,ORG,Q743588,,entities_not_aligned_to_wikidata,,,,0.0
Graphisoft,ORG,founder,Gábor Bojár,PERSON,Q743588,Q5625718,no_predicate_found,,,,0.0
Graphisoft,ORG,"other industry observer 2003,[20][unreliable",Jerry Laiserin,PERSON,Q743588,,entities_not_aligned_to_wikidata,,,,0.0
Greg Lynn,PERSON,choose,Gerhard Schmitt,PERSON,Q513374,Q112258986,no_predicate_found,,,,0.0
Greg Lynn,PERSON,choose,Greg Lynn FORM,ORG,Q513374,Q117114121,no_predicate_found,,,,0.0
Greg Lynn,PERSON,choose,Jacob van Rijs,PERSON,Q513374,Q225927,no_predicate_found,,,,0.0
Greg Lynn,PERSON,choose,MVRDV,ORG,Q513374,Q932801,no_predicate_found,,,,0.0
Greg Lynn FORM,ORG,choose,Birger Sevaldson,PERSON,Q117114121,,entities_not_aligned_to_wikidata,,,,0.0
Greg Lynn FORM,ORG,choose,Gerhard Schmitt,PERSON,Q117114121,Q112258986,no_predicate_found,,,,0.0
Greg Lynn FORM,ORG,choose,Jacob van Rijs,PERSON,Q117114121,Q225927,no_predicate_found,,,,0.0
Greg Lynn FORM,ORG,choose,MVRDV,ORG,Q117114121,Q932801,no_predicate_found,,,,0.0
Gábor Bojár,PERSON,acknowledge,Jonathan Ingram,PERSON,Q5625718,Q112136774,no_predicate_found,,,,0.0
Hamstra,PERSON,et al,2013,DATE,Q37044479,,entities_not_aligned_to_wikidata,,,,0.0
Helsinki,ORG,plan carbon neutral,2030,DATE,Q1757,,entities_not_aligned_to_wikidata,,,,0.0
Hong Kong,GPE,inaugurate,late April 2012.[62,DATE,Q8646,,entities_not_aligned_to_wikidata,,,,0.0
Hong Kong,GPE,introduce,2006,DATE,Q8646,,entities_not_aligned_to_wikidata,,,,0.0
Hong Kong,GPE,introduce,the Hong Kong Housing Authority,ORG,Q8646,,entities_not_aligned_to_wikidata,,,,0.0
Huawei,ORG,market,ZTE,ORG,Q160120,,entities_not_aligned_to_wikidata,,,,0.0
IBIMA,ORG,found,2012,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
IBIMA,ORG,found,Iran,GPE,,Q794,entities_not_aligned_to_wikidata,,,,0.0
IBM,ORG,fail after,years,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
IBM,ORG,include,Google,ORG,,Q95,entities_not_aligned_to_wikidata,,,,0.0
IBM,ORG,launch,Intel,ORG,,Q248,entities_not_aligned_to_wikidata,,,,0.0
IBM,ORG,recommend,STAT,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
IBM,ORG,recommend,Watson,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
IDC,ORG,forecast,2022,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Innovation,ORG,automate,Helsinki,ORG,Q174165,Q1757,no_predicate_found,,,,0.0
Innovation,ORG,plan carbon neutral,2030,DATE,Q174165,,entities_not_aligned_to_wikidata,,,,0.0
Institute of Standards and Technology,ORG,estimate,NIST,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Institute of Standards and Technology,ORG,estimate,annually,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Iran,GPE,include,Amirkabir University of Technology.[67,ORG,Q794,,entities_not_aligned_to_wikidata,,,,0.0
Iran,GPE,include,the Civil and Environmental Engineering Department,ORG,Q794,,entities_not_aligned_to_wikidata,,,,0.0
Iran,GPE,preliminary result,September 2016,DATE,Q794,Q19249552,no_predicate_found,,,,0.0
Ireland,GPE,pilot,Department for Public Expenditure and Reform,ORG,Q27,,entities_not_aligned_to_wikidata,,,,0.0
Ireland,GPE,pilot,November 2017,DATE,Q27,Q21706740,no_predicate_found,,,,0.0
J.-L. Lassez,PERSON,reprint,Computational Logic,ORG,,Q5157327,entities_not_aligned_to_wikidata,,,,0.0
J.-L. Lassez,PERSON,reprint,Plotkin,PERSON,,Q21496946,entities_not_aligned_to_wikidata,,,,0.0
J.-L. Lassez,PERSON,reprint,The MIT Press,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
JIA,ORG,release,2012,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Jacob van Rijs,PERSON,choose,Birger Sevaldson,PERSON,Q225927,,entities_not_aligned_to_wikidata,,,,0.0
Jacob van Rijs,PERSON,choose,Gerhard Schmitt,PERSON,Q225927,Q112258986,no_predicate_found,,,,0.0
Jacob van Rijs,PERSON,choose,MVRDV,ORG,Q225927,Q932801,no_predicate_found,,,,0.0
January 2017,DATE,follow within,a year,DATE,Q20650869,,entities_not_aligned_to_wikidata,,,,0.0
January 2019,DATE,publish,ISO,ORG,Q46992899,,entities_not_aligned_to_wikidata,,,,0.0
Japan Institute of Architects,ORG,release,2012,DATE,Q1683375,,entities_not_aligned_to_wikidata,,,,0.0
Japan Institute of Architects,ORG,release,JIA,ORG,Q1683375,,entities_not_aligned_to_wikidata,,,,0.0
Jerome H.,PERSON,view,1998,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Jerry,PERSON,foreword,Eastman,PERSON,Q3808011,Q3046582,no_predicate_found,,,,0.0
Jie,PERSON,et al,2020,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
John Fontana,PERSON,pull,4 Dec 2007,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
John Hopfield,PERSON,continue,David Rumelhart,PERSON,Q391237,Q93111,no_predicate_found,,,,0.0
John Hopfield,PERSON,continue,Geoffrey Hinton,PERSON,Q391237,Q92894,no_predicate_found,,,,0.0
John Maeda,PERSON,design number,2001,DATE,Q93024,,entities_not_aligned_to_wikidata,,,,0.0
John Maeda,PERSON,design number,MIT Press,ORG,Q93024,Q73820,no_predicate_found,,,,0.0
Jonathan Ingram,PERSON,open letter advanced,1986,DATE,Q112136774,,entities_not_aligned_to_wikidata,,,,0.0
July 2015,DATE,meeting,Ministry of Infrastructure,ORG,Q16726273,,entities_not_aligned_to_wikidata,,,,0.0
July 2015,DATE,meeting,Spain,GPE,Q16726273,Q29,no_predicate_found,,,,0.0
June 2011,DATE,publish,UK,GPE,Q330356,,entities_not_aligned_to_wikidata,,,,0.0
KCDC,ORG,know,the Design Lab,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
KCDC,ORG,know,the University of Sydney,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Karin,PERSON,enable,3 April 2017,DATE,Q1814118,,entities_not_aligned_to_wikidata,,,,0.0
Keinrath,PERSON,prove,Bischof,PERSON,Q83361878,Q866108,no_predicate_found,,,,0.0
Keinrath,PERSON,prove,Pfurtscheller[30,PERSON,Q83361878,,entities_not_aligned_to_wikidata,,,,0.0
Keinrath,PERSON,prove,Scherer,PERSON,Q83361878,Q47164208,no_predicate_found,,,,0.0
La Comissió Construïm el Futur,ORG,transl,The Commission Building the Future,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Laiserin,PERSON,archive,-07-08,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Laiserin,PERSON,archive,2017-07-04,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Laiserin,PERSON,comment letter,John Mullan,PERSON,,Q6249752,entities_not_aligned_to_wikidata,,,,0.0
Laiserin,PERSON,foreword,Eastman,PERSON,,Q3046582,entities_not_aligned_to_wikidata,,,,0.0
Laiserin,PERSON,foreword,"Eastman, et al",ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Lee,PERSON,prove,Bischof,PERSON,,Q866108,entities_not_aligned_to_wikidata,,,,0.0
Lee,PERSON,prove,Keinrath,PERSON,,Q83361878,entities_not_aligned_to_wikidata,,,,0.0
Lee,PERSON,prove,Pfurtscheller[30,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
Lee,PERSON,prove,Scherer,PERSON,,Q47164208,entities_not_aligned_to_wikidata,,,,0.0
Leite,ORG,address,Akinci,PERSON,Q21482960,,entities_not_aligned_to_wikidata,,,,0.0
Lindsay,PERSON,retrieve,Richard P.,PERSON,Q13403801,Q110409222,no_predicate_found,,,,0.0
Lindsay,PERSON,retrieve,September 1964,DATE,Q13403801,Q16676381,no_predicate_found,,,,0.0
LinkedIn,ORG,associate,Facebook,ORG,Q213660,Q355,no_predicate_found,,,,0.0
LinkedIn,ORG,include,Airbnb,ORG,Q213660,Q63327,no_predicate_found,,,,0.0
LinkedIn,ORG,include,Amazon,ORG,Q213660,Q3884,no_predicate_found,,,,0.0
LinkedIn,ORG,include,Microsoft,ORG,Q213660,Q2283,no_predicate_found,,,,0.0
LinkedIn,ORG,include,Uber,ORG,Q213660,,entities_not_aligned_to_wikidata,,,,0.0
LinkedIn,ORG,use,Facebook,ORG,Q213660,Q355,no_predicate_found,,,,0.0
Lisa,PERSON,retrieve,2016,DATE,Q1588186,,entities_not_aligned_to_wikidata,,,,0.0
Lisa,PERSON,retrieve,Wolfram,PERSON,Q1588186,,entities_not_aligned_to_wikidata,,,,0.0
Lisa,PERSON,retrieve,Wöß,PERSON,Q1588186,,entities_not_aligned_to_wikidata,,,,0.0
Liu,PERSON,influence,2022,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
London,GPE,introduce,2009,DATE,Q84,,entities_not_aligned_to_wikidata,,,,0.0
Los Angeles,GPE,experience,the late 1960s[50,DATE,Q65,,entities_not_aligned_to_wikidata,,,,0.0
Los Angeles,GPE,late establishment,Singapore,GPE,Q65,Q334,no_predicate_found,,,,0.0
Los Angeles,GPE,late establishment,the National Computer Board,ORG,Q65,,entities_not_aligned_to_wikidata,,,,0.0
MA,GPE,reprint,1991,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
MIT Press,ORG,isbn,1995,DATE,Q73820,,entities_not_aligned_to_wikidata,,,,0.0
MIT Press,ORG,isbn,Bishop,PERSON,Q73820,Q611644,no_predicate_found,,,,0.0
MIT Technology Review,ORG,vol no,May/June 2021,DATE,Q796078,Q137548546,no_predicate_found,,,,0.0
MVRDV,ORG,choose,Birger Sevaldson,PERSON,Q932801,,entities_not_aligned_to_wikidata,,,,0.0
MVRDV,ORG,choose,Gerhard Schmitt,PERSON,Q932801,Q112258986,no_predicate_found,,,,0.0
Malaysia,GPE,target towards,the year 2020,DATE,Q833,,entities_not_aligned_to_wikidata,,,,0.0
Massachusetts Institute of Technology's,ORG,group,Georgia Tech,ORG,,Q864855,entities_not_aligned_to_wikidata,,,,0.0
Massei M.,PERSON,base,Guide to Simulation-Based Disciplines,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
May 2011,DATE,call,Paul Morrell,PERSON,Q276430,Q16732880,no_predicate_found,,,,0.0
McGraw Hill,ORG,publish,2012,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
McGraw Hill Construction[page,ORG,need,Drogemuller,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
McGraw Hill Construction[page,ORG,need,Erezi,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
McGraw Hill Construction[page,ORG,need,Robin,PERSON,,Q1158139,entities_not_aligned_to_wikidata,,,,0.0
McGraw Hill Construction[page,ORG,need,Utiome,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
Mediaconstruct,ORG,exist,1989,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Mediaconstruct,ORG,exist,France,GPE,,Q142,entities_not_aligned_to_wikidata,,,,0.0
Meintjes,PERSON,see,Keith,PERSON,Q32856266,Q1159033,no_predicate_found,,,,0.0
Microsoft,ORG,include,Amazon,ORG,Q2283,Q3884,no_predicate_found,,,,0.0
Microsoft,ORG,include,Uber,ORG,Q2283,,entities_not_aligned_to_wikidata,,,,0.0
Microsoft,ORG,pull,4 Dec 2007,DATE,Q2283,,entities_not_aligned_to_wikidata,,,,0.0
Microsoft,ORG,pull,John Fontana,PERSON,Q2283,,entities_not_aligned_to_wikidata,,,,0.0
Microsoft,ORG,test,Twitter,ORG,Q2283,,entities_not_aligned_to_wikidata,,,,0.0
Microsoft,ORG,use,Facebook,ORG,Q2283,Q355,no_predicate_found,,,,0.0
Microsoft,ORG,use,LinkedIn,ORG,Q2283,Q213660,candidate_found,P1830,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/prop/direct/P1830,0.056
Microsoft Research’s,ORG,exemplify,2024,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Microsoft Research’s,ORG,exemplify,LLM,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Mitchell,PERSON,archive,1997,DATE,Q179205,,entities_not_aligned_to_wikidata,,,,0.0
NIBS,ORG,look,UK,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
NIBS,ORG,look,US,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
NIST,ORG,estimate,annually,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
NORAD,ORG,track,Santa Claus,PERSON,,Q315796,entities_not_aligned_to_wikidata,,,,0.0
NORAD,ORG,track,today,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
National Aeronautics and Space Administration,ORG,document revision,2009,DATE,Q23548,,entities_not_aligned_to_wikidata,,,,0.0
National Aeronautics and Space Administration,ORG,revision,June 2009,DATE,Q23548,Q235735,no_predicate_found,,,,0.0
National Building Specification,ORG,publish into,UK,GPE,Q6971141,,entities_not_aligned_to_wikidata,,,,0.0
New Zealand,GPE,commission,2015,DATE,Q664,,entities_not_aligned_to_wikidata,,,,0.0
New Zealand,GPE,many project rebuilding,Christchurch,GPE,Q664,Q79990,no_predicate_found,,,,0.0
Nikolai,PERSON,archive,14 April 2019,DATE,Q30442370,,entities_not_aligned_to_wikidata,,,,0.0
Nikolai,PERSON,possibility,Russia,GPE,Q30442370,Q159,no_predicate_found,,,,0.0
Nils J.,PERSON,archive,16 August 2019,DATE,Q12717215,,entities_not_aligned_to_wikidata,,,,0.0
Nils J.,PERSON,archive,the Wayback Machine,ORG,Q12717215,,entities_not_aligned_to_wikidata,,,,0.0
Nilsson,PERSON,archive,16 August 2019,DATE,Q15829860,,entities_not_aligned_to_wikidata,,,,0.0
Nima,ORG,put,UK BIM Alliance,ORG,Q465164,,entities_not_aligned_to_wikidata,,,,0.0
November 2017,DATE,merge,Ireland,GPE,Q21706740,Q27,no_predicate_found,,,,0.0
November 2017,DATE,merge,UK,GPE,Q21706740,,entities_not_aligned_to_wikidata,,,,0.0
November 2017,DATE,merge,the UK BIM Alliance,ORG,Q21706740,,entities_not_aligned_to_wikidata,,,,0.0
November 2017,DATE,pilot,Department for Public Expenditure and Reform,ORG,Q21706740,,entities_not_aligned_to_wikidata,,,,0.0
November 2017,DATE,pilot,Ireland,GPE,Q21706740,Q27,no_predicate_found,,,,0.0
Oceania,GPE,recommend,February 2016,DATE,Q538,Q19249183,no_predicate_found,,,,0.0
Oceania,GPE,recommend,Infrastructure Australia,ORG,Q538,Q6031535,no_predicate_found,,,,0.0
October 2019,DATE,launch,CDBB,ORG,Q47087606,,entities_not_aligned_to_wikidata,,,,0.0
October 2019,DATE,launch,the BSI Group,ORG,Q47087606,,entities_not_aligned_to_wikidata,,,,0.0
October 2019,DATE,launch,the UK BIM Alliance[a,ORG,Q47087606,,entities_not_aligned_to_wikidata,,,,0.0
Oh,PERSON,propose,2019,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
OpenBIM,ORG,initiative,buildingSMART,ORG,Q128333838,,entities_not_aligned_to_wikidata,,,,0.0
PTNB,ORG,create,2013,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
PTNB,ORG,create,2015 to 2017,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
PTNB,ORG,supersede,2018,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Patrick Jensen,PERSON,research,the University of Hong Kong,ORG,Q50365085,,entities_not_aligned_to_wikidata,,,,0.0
Patrick Jensen,PERSON,trace,2004,DATE,Q50365085,,entities_not_aligned_to_wikidata,,,,0.0
Pittsburgh,GPE,put,San Diego,GPE,Q1342,Q16552,no_predicate_found,,,,0.0
Plotkin,PERSON,reprint,Cambridge,GPE,Q21496946,Q49111,no_predicate_found,,,,0.0
Plotkin,PERSON,reprint,Computational Logic,ORG,Q21496946,Q5157327,no_predicate_found,,,,0.0
Plotkin,PERSON,reprint,The MIT Press,ORG,Q21496946,,entities_not_aligned_to_wikidata,,,,0.0
Poland,GPE,centre,BIM Cluster,ORG,Q36,,entities_not_aligned_to_wikidata,,,,0.0
Portugal,GPE,begin,2015,DATE,Q45,,entities_not_aligned_to_wikidata,,,,0.0
Portugal,GPE,normalisation,CT197-BIM,ORG,Q45,,entities_not_aligned_to_wikidata,,,,0.0
